"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TIMOB-25418",101,5.0,100,5.0,1,0.0
"TIMOB-25409",396,5.0,391,5.0,5,0.0
"TIMOB-25405",305,1.0,286,1.0,19,0.0
"TIMOB-25403",78,-1.0,78,5.0,0,-6.0
"TIMOB-25402",25,-1.0,25,"1.0",0,-2.0
"TIMOB-25401",295,5.0,295,5.0,0,0.0
"TIMOB-25399",30,3.0,30,3.0,0,0.0
"TIMOB-25394",71,1.0,59,1.0,12,0.0
"TIMOB-25385",151,5.0,151,5.0,0,0.0
"TIMOB-25382",257,2.0,257,2.0,0,0.0
"TIMOB-25377",173,5.0,173,5.0,0,0.0
"TIMOB-25376",222,3.0,222,3.0,0,0.0
"TIMOB-25372",209,5.0,209,5.0,0,0.0
"TIMOB-25366",24,13.0,24,13.0,0,0.0
"TIMOB-25363",66,3.0,66,3.0,0,0.0
"TIMOB-25362",45,13.0,45,13.0,0,0.0
"TIMOB-25360",72,3.0,72,3.0,0,0.0
"TIMOB-25359",213,3.0,224,3.0,-11,0.0
"TIMOB-25354",88,-1.0,88,2.0,0,-3.0
"TIMOB-25353",41,5.0,41,"5.0",0,0.0
"TIMOB-25352",92,3.0,92,3.0,0,0.0
"TIMOB-25347",66,-1.0,66,2.0,0,-3.0
"TIMOB-25345",52,5.0,52,5.0,0,0.0
"TIMOB-25340",83,-1.0,83,8.0,0,-9.0
"TIMOB-25327",86,5.0,86,5.0,0,0.0
"TIMOB-25326",85,5.0,85,5.0,0,0.0
"TIMOB-25325",55,5.0,55,5.0,0,0.0
"TIMOB-25324",17,2.0,17,2.0,0,0.0
"TIMOB-25323",35,5.0,35,5.0,0,0.0
"TIMOB-25314",182,8.0,182,8.0,0,0.0
"TIMOB-25313",31,-1.0,31,21.0,0,-22.0
"TIMOB-25306",46,5.0,46,5.0,0,0.0
"TIMOB-25303",51,5.0,51,5.0,0,0.0
"TIMOB-25302",51,5.0,51,5.0,0,0.0
"TIMOB-25298",51,5.0,51,5.0,0,0.0
"TIMOB-25291",116,3.0,132,3.0,-16,0.0
"TIMOB-25285",62,-1.0,62,2.0,0,-3.0
"TIMOB-25284",135,3.0,119,3.0,16,0.0
"TIMOB-25282",138,5.0,138,5.0,0,0.0
