"issue_key","storypoints","issuetype","time_in_status"
"XD-2277",3.0,"Story",208.35972
"XD-2276",3.0,"Story",208.42472
"XD-2275",3.0,"Story",208.36
"XD-2274",1.0,"Bug",0.05889
"XD-2271",3.0,"Story",51.86972
"XD-2270",3.0,"Story",6.28611
"XD-2269",3.0,"Story",10.81028
"XD-2268",5.0,"Story",16.77806
"XD-2266",3.0,"Story",70.59556
"XD-2265",3.0,"Story",70.60417
"XD-2264",5.0,"Story",142.00778
"XD-2259",1.0,"Story",0.00333
"XD-2258",8.0,"Story",220.85639
"XD-2251",1.0,"Improvement",0.14833
"XD-2248",2.0,"Bug",1.79833
"XD-2247",2.0,"Story",48.49278
"XD-2245",1.0,"Bug",47.71972
"XD-2239",5.0,"Bug",284.7725
"XD-2238",5.0,"Improvement",166.045
"XD-2237",2.0,"Story",94.50222
"XD-2235",1.0,"Bug",15.06778
"XD-2230",5.0,"Bug",53.03611
"XD-2228",5.0,"Story",98.94556
"XD-2226",5.0,"Story",71.69361
"XD-2225",8.0,"Story",0.005
"XD-2224",2.0,"Story",239.29444
