"issue_key","storypoints","issuetype","time_in_status"
"TISTUD-6968",5.0,"Bug",0.75361
"TISTUD-6965",8.0,"Improvement",0.51528
"TISTUD-6961",5.0,"Bug",23.44417
"TISTUD-6957",3.0,"Improvement",0.83889
"TISTUD-6951",5.0,"Bug",2.7
"TISTUD-6944",5.0,"Bug",0.18556
"TISTUD-6943",8.0,"Improvement",69.79806
"TISTUD-6941",5.0,"Bug",0.79222
"TISTUD-6940",8.0,"Bug",22.33972
"TISTUD-6933",5.0,"Bug",2.37389
"TISTUD-6930",8.0,"Bug",5.40556
"TISTUD-6924",3.0,"Bug",0.00222
"TISTUD-6920",5.0,"Bug",14.70806
"TISTUD-6918",5.0,"Bug",109.42278
"TISTUD-6917",5.0,"Bug",14.10889
"TISTUD-6910",8.0,"Story",120.73
"TISTUD-6909",3.0,"Bug",0.25694
"TISTUD-6907",5.0,"Bug",129.25833
"TISTUD-6903",8.0,"Bug",6242.2425
"TISTUD-6902",5.0,"Story",95.93167
"TISTUD-6901",3.0,"Story",7.88861
"TISTUD-6900",5.0,"Story",152.11083
"TISTUD-6897",5.0,"Bug",4.12556
"TISTUD-6896",5.0,"Bug",1.08472
"TISTUD-6892",8.0,"Improvement",9.155
"TISTUD-6891",5.0,"Bug",75.86944
"TISTUD-6890",5.0,"Bug",0.31361
"TISTUD-6889",2.0,"Improvement",2.13611
"TISTUD-6888",5.0,"Bug",0.025
"TISTUD-6886",5.0,"Bug",5.99972
"TISTUD-6885",5.0,"Bug",3.44972
"TISTUD-6884",3.0,"Bug",2.14472
"TISTUD-6883",5.0,"Bug",1.04556
"TISTUD-6882",5.0,"Bug",70.66639
"TISTUD-6881",3.0,"Bug",0.08472
"TISTUD-6878",5.0,"Bug",2.34806
"TISTUD-6877",3.0,"Bug",0.57472
"TISTUD-6872",5.0,"Bug",22.24389
"TISTUD-6871",3.0,"Bug",3.2875
"TISTUD-6865",5.0,"Bug",0.00556
"TISTUD-6864",2.0,"Bug",1.31667
"TISTUD-6859",5.0,"Bug",5.28667
"TISTUD-6858",5.0,"Bug",0.13667
"TISTUD-6857",5.0,"Bug",28.60778
"TISTUD-6856",5.0,"Bug",16.96472
"TISTUD-6851",3.0,"Bug",2.38806
"TISTUD-6841",3.0,"Story",2.425
"TISTUD-6840",3.0,"Story",118.36611
"TISTUD-6839",5.0,"Story",18.64333
"TISTUD-6838",8.0,"Story",96.03056
"TISTUD-6837",8.0,"Story",67.87139
"TISTUD-6836",5.0,"Story",2.035
"TISTUD-6835",3.0,"New Feature",0.37944
"TISTUD-6834",3.0,"New Feature",23.96306
"TISTUD-6833",5.0,"Bug",3.01111
"TISTUD-6825",3.0,"Story",0.00528
"TISTUD-6824",5.0,"Story",0.13167
"TISTUD-6817",5.0,"Bug",26.06667
"TISTUD-6815",5.0,"Bug",26.77444
"TISTUD-6811",5.0,"Bug",20.22028
"TISTUD-6805",8.0,"Improvement",0.46639
"TISTUD-6786",5.0,"Bug",0.00222
"TISTUD-6784",5.0,"Bug",11.27444
"TISTUD-6778",5.0,"Improvement",0.27222
"TISTUD-6776",8.0,"Story",0.265
"TISTUD-6774",5.0,"Story",0.93361
"TISTUD-6772",5.0,"Bug",6.86833
"TISTUD-6759",5.0,"Bug",1.60889
"TISTUD-6745",5.0,"Bug",17.59917
"TISTUD-6742",8.0,"New Feature",0.74111
"TISTUD-6738",5.0,"Bug",33.75417
"TISTUD-6737",8.0,"Story",24.275
"TISTUD-6736",5.0,"New Feature",0.79667
"TISTUD-6735",8.0,"Story",1591.73028
"TISTUD-6733",8.0,"Bug",456.34417
"TISTUD-6726",5.0,"Bug",107.73806
"TISTUD-6722",8.0,"Bug",72.23028
"TISTUD-6721",5.0,"Story",0.14861
"TISTUD-6708",5.0,"Bug",1.95083
"TISTUD-6702",8.0,"New Feature",4.05417
"TISTUD-6701",5.0,"Improvement",32.23667
"TISTUD-6696",5.0,"Bug",0.00944
"TISTUD-6694",8.0,"New Feature",4.93361
"TISTUD-6693",8.0,"New Feature",3.6275
"TISTUD-6692",8.0,"New Feature",25.80167
"TISTUD-6691",13.0,"New Feature",172.41861
"TISTUD-6689",5.0,"Improvement",21.49583
"TISTUD-6686",2.0,"Bug",1.96028
"TISTUD-6685",5.0,"Bug",3.75139
